BikeCount,Latitude,Longitude
22,40.65539977,-74.01062787
27,40.65708867,-74.00870204
69,40.66106337,-73.97945255
53,40.6627059,-73.9569115
49,40.6630619,-73.9538746
62,40.66314,-73.9605695
77,40.663779,-73.98396846
60,40.6642406,-73.9574686
91,40.66514682,-73.97637606
63,40.665816,-73.956934
93,40.6662078,-73.98199886
92,40.666287,-73.98895053
89,40.6663181,-73.9854617
76,40.66643931,-73.96055639
76,40.6679411,-73.9588
103,40.668127,-73.98377641
101,40.668132,-73.97363831
97,40.6685455,-73.99333264
102,40.668603,-73.9904394
104,40.6686273,-73.98700053
112,40.6686627,-73.97988067
84,40.6686744,-73.9618148
74,40.6691783,-73.9554162
120,40.6703837,-73.97839676
114,40.6704836,-73.98208968
112,40.6704922,-73.98541675
111,40.6705135,-73.98876585
85,40.6707767,-73.9576801
117,40.6711978,-73.97484126
100,40.6716493,-73.9631145
109,40.671907,-73.993612
98,40.6721683,-73.9609
71,40.6725058,-74.00494695
114,40.67260298,-73.98983002
55,40.67267243,-74.00879525
83,40.672695,-73.954131
122,40.6728155,-73.98352355
122,40.6729679,-73.97087984
47,40.67363551,-74.01195556
107,40.6737236,-73.9631611
120,40.6740123,-73.9671457
138,40.6740886,-73.9787282
93,40.6741806,-73.9564947
87,40.67434,-74.00194698
105,40.6746957,-73.99785768
67,40.6747055,-74.0075572
127,40.6750207,-73.97111473
126,40.6750705,-73.98775226
139,40.67514684,-73.97523209
133,40.6751622,-73.9814832
56,40.6753274,-74.0100698
96,40.6758324,-73.9561677
41,40.67583294,-74.01472628
87,40.676368,-73.952918
87,40.6763744,-74.00324957
106,40.6763947,-73.99869893
106,40.6765198,-73.9596082
143,40.6765304,-73.97846879
131,40.6767,-73.969024
126,40.6769694,-73.96579
75,40.6769993,-74.00647134
135,40.677027,-73.9865
41,40.677236,-74.015665
140,40.6772744,-73.98282002
51,40.6773429,-74.01275056
99,40.67759207,-73.95563722
143,40.6776147,-73.97324283
121,40.6777287,-73.99364123
66,40.6777748,-74.0094613
121,40.678045,-73.962408
103,40.6783563,-74.00014502
41,40.6786,-73.90369
133,40.6786115,-73.99037292
118,40.6787242,-73.99599099
85,40.67890679,-73.94142771
65,40.679043,-74.011169
138,40.679098,-73.98765475
112,40.6791944,-73.9587903
146,40.6792788,-73.98154004
149,40.6793307,-73.97519523
75,40.6794268,-73.9298911
75,40.6794327,-74.00785041
135,40.6794388,-73.9680438
46,40.67945,-73.90474
151,40.6795766,-73.97854971
85,40.6800105,-73.938475
145,40.6802133,-73.98432695
106,40.68034242,-73.95576894
90,40.68035608,-73.9476791
129,40.6804836,-73.9646795
123,40.680611,-73.99475825
153,40.68094472,-73.97567332
111,40.6809591,-73.99905709
144,40.6809741,-73.9710097
94,40.68098339,-73.95004798
77,40.6812117,-74.00860912
58,40.68139,-73.90756
