CrimeCount,Latitude,Longitude
24,40.65539977,-74.01062787
24,40.65708867,-74.00870204
45,40.66106337,-73.97945255
66,40.6627059,-73.9569115
65,40.6630619,-73.9538746
64,40.66314,-73.9605695
41,40.663779,-73.98396846
64,40.6642406,-73.9574686
45,40.66514682,-73.97637606
71,40.665816,-73.956934
46,40.6662078,-73.98199886
35,40.666287,-73.98895053
40,40.6663181,-73.9854617
64,40.66643931,-73.96055639
66,40.6679411,-73.9588
45,40.668127,-73.98377641
51,40.668132,-73.97363831
33,40.6685455,-73.99333264
34,40.668603,-73.9904394
36,40.6686273,-73.98700053
50,40.6686627,-73.97988067
64,40.6686744,-73.9618148
72,40.6691783,-73.9554162
53,40.6703837,-73.97839676
50,40.6704836,-73.98208968
44,40.6704922,-73.98541675
38,40.6705135,-73.98876585
71,40.6707767,-73.9576801
58,40.6711978,-73.97484126
66,40.6716493,-73.9631145
35,40.671907,-73.993612
66,40.6721683,-73.9609
22,40.6725058,-74.00494695
41,40.67260298,-73.98983002
20,40.67267243,-74.00879525
75,40.672695,-73.954131
45,40.6728155,-73.98352355
58,40.6729679,-73.97087984
16,40.67363551,-74.01195556
64,40.6737236,-73.9631611
66,40.6740123,-73.9671457
53,40.6740886,-73.9787282
74,40.6741806,-73.9564947
27,40.67434,-74.00194698
33,40.6746957,-73.99785768
21,40.6747055,-74.0075572
57,40.6750207,-73.97111473
42,40.6750705,-73.98775226
52,40.67514684,-73.97523209
48,40.6751622,-73.9814832
20,40.6753274,-74.0100698
69,40.6758324,-73.9561677
15,40.67583294,-74.01472628
72,40.676368,-73.952918
27,40.6763744,-74.00324957
34,40.6763947,-73.99869893
64,40.6765198,-73.9596082
51,40.6765304,-73.97846879
59,40.6767,-73.969024
62,40.6769694,-73.96579
21,40.6769993,-74.00647134
44,40.677027,-73.9865
12,40.677236,-74.015665
44,40.6772744,-73.98282002
16,40.6773429,-74.01275056
68,40.67759207,-73.95563722
52,40.6776147,-73.97324283
39,40.6777287,-73.99364123
21,40.6777748,-74.0094613
65,40.678045,-73.962408
29,40.6783563,-74.00014502
56,40.6786,-73.90369
44,40.6786115,-73.99037292
38,40.6787242,-73.99599099
77,40.67890679,-73.94142771
18,40.679043,-74.011169
43,40.679098,-73.98765475
63,40.6791944,-73.9587903
48,40.6792788,-73.98154004
53,40.6793307,-73.97519523
74,40.6794268,-73.9298911
23,40.6794327,-74.00785041
60,40.6794388,-73.9680438
54,40.67945,-73.90474
50,40.6795766,-73.97854971
79,40.6800105,-73.938475
43,40.6802133,-73.98432695
60,40.68034242,-73.95576894
69,40.68035608,-73.9476791
59,40.6804836,-73.9646795
41,40.680611,-73.99475825
52,40.68094472,-73.97567332
36,40.6809591,-73.99905709
56,40.6809741,-73.9710097
71,40.68098339,-73.95004798
21,40.6812117,-74.00860912
59,40.68139,-73.90756
78,40.6814598,-73.934903
59,40.68186,-73.959432
43,40.68199044,-73.99079025
63,40.68216564,-73.95399026
73,40.6823687,-73.944118
81,40.682601,-73.938037
31,40.6828003,-73.99990419
59,40.68281,-73.90623
42,40.6829151,-73.99318208
27,40.6830456,-74.00348559
36,40.6831164,-73.99785267
48,40.68312489,-73.97895137
63,40.68319988,-73.91166642
59,40.68323865,-73.96599591
43,40.683426,-73.984275
49,40.68382604,-73.97632328
68,40.68402,-73.94977
59,40.68415748,-73.96922273
59,40.6845683,-73.95881081
62,40.68458,-73.90925
41,40.68461654,-73.98721285
32,40.6847514,-73.99917254
59,40.68488,-73.96304
41,40.6849668,-73.98620772
38,40.6849894,-73.99440329
48,40.68506807,-73.9779076
61,40.6851443,-73.95380904
73,40.6851532,-73.94111
45,40.6853761,-73.98302136
50,40.68539567,-73.97431458
63,40.68565,-73.91564
33,40.6859296,-74.00242364
38,40.6861758,-73.99645295
67,40.686203,-73.944694
76,40.686312,-73.935775
40,40.686371,-73.99383324
41,40.6864442,-73.98759104
57,40.68650065,-73.96563307
61,40.68652,-73.91321
62,40.68663,-73.9168
40,40.6867443,-73.99063168
56,40.68676793,-73.95928168
46,40.68683208,-73.9796772
47,40.68691865,-73.976682
52,40.68753406,-73.97265183
35,40.68763155,-74.0016256
52,40.68764484,-73.96968902
42,40.6881529,-73.99520919
56,40.6882,-73.90798
61,40.68822,-73.91966
60,40.6883337,-73.950916
47,40.68841,-73.979458
44,40.68841743,-73.98451656
56,40.68851534,-73.9647628
58,40.68858,-73.91227
53,40.68900443,-73.96023854
54,40.68906,-73.90506
41,40.68926942,-73.98912867
53,40.68929,-73.90951
52,40.68940747,-73.96885458
66,40.6894932,-73.942061
45,40.68962189,-73.98304269
47,40.68981035,-73.97493121
44,40.689888,-73.981013
57,40.68989,-73.91458
58,40.6900815,-73.947915
42,40.6902375,-73.99203074
62,40.69047,-73.923511
53,40.69055,-73.91181
57,40.69064807,-73.95746179
53,40.69072549,-73.95133465
53,40.69081,-73.90448
44,40.69089272,-73.99612349
42,40.69102926,-73.99183363
54,40.69122,-73.91693
58,40.69128258,-73.9452416
59,40.69146,-73.92146
39,40.69165183,-73.9999786
46,40.69178,-73.97877
50,40.6917823,-73.9737299
56,40.69196035,-73.96536851
46,40.69196566,-73.9813018
71,40.692,-73.92617
61,40.692,-73.944
53,40.692,-73.95
42,40.692,-73.983
44,40.692,-73.992
41,40.69221589,-73.9842844
41,40.69236178,-73.98631746
68,40.69237074,-73.93705428
45,40.69239502,-73.99337909
44,40.69241829,-73.98949474
49,40.69296,-73.91605
46,40.693,-73.90824
50,40.69308257,-73.97178913
56,40.693261,-73.968896
48,40.69327018,-73.97703874
63,40.69329,-73.92852
52,40.69331716,-73.95381995
64,40.6933982,-73.939877
62,40.69356,-73.92524
57,40.69363137,-73.96223558
46,40.69385,-73.90974
55,40.69425403,-73.94626915
49,40.69428114,-73.99230033
52,40.69454609,-73.95801365
41,40.69467,-73.90663
42,40.69474881,-73.98362464
52,40.695,-73.95
63,40.69502,-73.92825
40,40.695065,-73.987167
46,40.69512845,-73.99595065
40,40.69517,-73.90311
45,40.69527008,-73.95238108
48,40.69531728,-73.99015725
50,40.69535693,-73.99344027
52,40.69539817,-73.94954908
50,40.69543,-73.9196
63,40.69544,-73.93223
45,40.69545,-73.91164
51,40.69573398,-73.97129668
51,40.69580705,-73.97355569
45,40.69608941,-73.97803415
51,40.69610226,-73.96751037
60,40.69622937,-73.94371094
59,40.69671,-73.92807
51,40.69676,-73.92302
61,40.69681963,-73.93756926
41,40.69714,-73.91566
37,40.6972,-73.90674
57,40.697481,-73.935877
57,40.69757,-73.93098
47,40.69760127,-73.99344559
44,40.69766564,-73.98476437
47,40.697787,-73.973736
60,40.697842,-73.926241
51,40.69794,-73.96986848
51,40.69795032,-73.9707756
42,40.698,-73.9127
40,40.69811,-73.90904
38,40.69812,-73.90271
47,40.69839895,-73.98068914
48,40.698458,-73.997178
42,40.698568,-73.918877
57,40.698617,-73.941342
34,40.6988,-73.9007
41,40.69905,-73.91516
29,40.69922,-73.89795
47,40.699304,-73.923044
39,40.69943,-73.91337
49,40.69957608,-73.94708417
35,40.69969,-73.9022
54,40.69985,-73.97141
54,40.69991755,-73.98971773
49,40.69999748,-73.97440128
52,40.700003,-73.92834
46,40.70029511,-73.95032283
50,40.7003,-73.991581
52,40.70037867,-73.99548059
36,40.70068,-73.90742
51,40.70076,-73.93641
56,40.70099,-73.93921
54,40.701,-73.932
52,40.70106,-73.93318
